In_year,PDSI,wet,dry,PHDI
1975,-1.4158333333333335,3,-3,-1.4158333333333335
1976,-0.96,3,-3,-0.8816666666666667
1977,-1.915,3,-3,-1.915
1978,2.999166666666667,3,-3,2.8316666666666666
1979,5.378333333333334,3,-3,5.378333333333334
1980,1.71,3,-3,3.660833333333333
1981,-2.1966666666666668,3,-3,-2.1966666666666668
1982,0.9824999999999999,3,-3,0.44333333333333336
1983,4.949166666666667,3,-3,4.949166666666667
1984,0.3183333333333333,3,-3,1.9108333333333334
1985,3.0875,3,-3,3.3816666666666664
1986,-0.24166666666666667,3,-3,0.5299999999999999
1987,0.29083333333333333,3,-3,0.5683333333333334
1988,0.2091666666666667,3,-3,0.665
1989,-3.2158333333333338,3,-3,-3.2158333333333338
1990,-1.3466666666666667,3,-3,-2.733333333333333
1991,0.5308333333333334,3,-3,0.5533333333333333
1992,3.4441666666666664,3,-3,3.4441666666666664
1993,3.3249999999999997,3,-3,5.6375
1994,-0.8383333333333334,3,-3,-0.40916666666666673
1995,0.6316666666666666,3,-3,1.55
1996,-4.1375,3,-3,-4.1375
1997,-1.8641666666666667,3,-3,-3.1491666666666664
1998,1.3683333333333334,3,-3,2.311666666666667
1999,-1.2725,3,-3,-1.4075
2000,-2.535,3,-3,-3.546666666666667
2001,-0.10166666666666664,3,-3,-0.8066666666666666
2002,-4.6000000000000005,3,-3,-4.6000000000000005
2003,-3.6183333333333336,3,-3,-3.6183333333333336
2004,-2.0308333333333333,3,-3,-3.15
2005,1.6533333333333333,3,-3,3.544166666666667
2006,-3.385,3,-3,-3.385
2007,-3.9308333333333336,3,-3,-3.9308333333333336
2008,-1.4691666666666665,3,-3,-1.4691666666666665
2009,-2.6941666666666664,3,-3,-3.035
2010,0.8649999999999999,3,-3,0.5141666666666667
2011,-2.4966666666666666,3,-3,-2.4966666666666666
2012,-3.564166666666667,3,-3,-3.564166666666667
2013,-2.6725,3,-3,-2.6725
2014,-3.2916666666666665,3,-3,-3.2916666666666665
2015,-0.5975,3,-3,-1.5258333333333332
2016,-2.0558333333333336,3,-3,-2.0558333333333336
2017,-1.7175,3,-3,-1.7175
2018,-3.3425,3,-3,-4.258333333333334
2019,0.5525,3,-3,-0.13249999999999998
2020,-0.9666666666666667,3,-3,-0.8125
2021,-3.8266666666666667,3,-3,-3.8266666666666667
2022,-1.5691666666666668,3,-3,-3.1950000000000003
2023,0.12,3,-3,0.11416666666666664
2024,-1.26,3,-3,-1.26
