index,R,Res,U
1853,,,
1856,,,
1857,,,
1860,,,
1864,,,
1868,,,
1870,,,
1871,,,
1872,,,
1873,,,
1875,,,
1876,,,
1877,,,
1878,,,
1879,,,
1880,,,
1881,,,60.0
1882,,,
1883,,,65.0
1884,,,
1885,,,
1886,,,
1887,,,
1888,,,
1889,,,
1890,,,
1891,,,
1892,,,
1893,,,
1894,,,
1895,,,
1896,,,
1897,,,
1898,,,
1899,,,
1900,75.0,,18.0
1901,,,
1902,,,
1903,,,
1904,,,0.0
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,70.0,,90.0
1911,,,
1912,,,
1913,,,
1914,,,
1915,0.0,,116.25
1916,,,
1917,,,22.0
1918,,,80.0
1919,,,170.0
1920,,,250.0
1921,,,
1922,229.0,,
1923,221.0,,
1924,,,
1925,20.75,,1.0
1926,90.0,,
1927,0.0,,
1928,113.0,,40.0
1929,65.23333333333333,,123.0
1930,67.86777777777777,,49.6
1931,78.79377777777778,,
1932,80.97618253968253,,
1933,94.56864583333333,,
1934,80.45451388888888,,
1935,109.85747222222221,,175.5
1936,118.79348484848487,,230.0
1937,108.2859700854701,,218.0
1938,86.81450000000001,,136.0
1939,76.81747619047619,,45.81875
1940,88.99294871794872,,83.87652181152181
1941,103.07905494505493,,43.18820238095238
1942,102.8173188405797,,53.94125
1943,86.1023404634581,,107.59309523809523
1944,72.2414366272825,,112.82804166666666
1945,114.41476271645023,,88.14489583333334
1946,116.47864305320283,,73.23890896358544
1947,146.79975945967612,,58.697916666666664
1948,130.99275588012983,,92.02676470588234
1949,121.80632648401826,,92.93656666666666
1950,129.77091397849463,,65.11120833333334
1951,158.20362660256413,,98.23004545454546
1952,157.41914772727273,,89.61523873873874
1953,148.95825836725464,,111.64120567375886
1954,151.94329377289378,,96.98946153846154
1955,163.6681640172214,,93.47946666666667
1956,154.5433946886447,70.0,91.21740845959596
1957,162.74284158415844,,109.51000467171717
1958,159.06094007490637,,112.43551437556155
1959,170.87548412698413,,119.18593333333334
1960,167.48080581039756,,96.98134398087788
1961,171.1454844006568,,134.31040702075703
1962,185.04542838246408,,138.24648401826485
1963,187.25585226303065,,170.89047172912555
1964,180.35208465218992,,152.11224691974692
1965,185.55862418729834,,202.72859003831417
1966,197.97125353008937,,173.03199489795918
1967,187.42045631143142,,181.9616274509804
1968,187.81297085201794,,198.4446792601338
1969,200.64780877294226,20.1,173.77687121212122
1970,203.76997774849949,,175.56871913580247
1971,235.4021332465278,,183.2557411527866
1972,241.38592970521543,,178.17301979766265
1973,234.7510153256705,,180.59977213541666
1974,252.89571106635978,37.25,191.4473439402637
1975,259.32303887085135,,169.89096651612277
1976,236.78706891495602,,179.09712299116407
1977,267.80460506160506,,167.49099151448073
1978,236.95440572390572,,158.9718990020396
1979,250.05802842990343,,191.19331210351058
1980,256.8400275482094,6.25,210.4858969271469
1981,227.2643802537447,,167.17642395473723
1982,226.88430370857333,,197.61457556935818
1983,262.86786673058486,,193.00753262786597
1984,254.67165043290046,,189.3932485964471
1985,247.83119270867556,31.8,206.66618604651165
1986,246.18415167875602,,196.38914542701932
1987,245.89738597293928,78.6,205.69143990384615
1988,263.3449685059209,76.1,197.05834565897067
1989,258.2731239918794,66.69999999999999,191.8934200854701
1990,249.54386984905642,57.0,188.46911011904763
1991,258.07814468455047,64.375,222.6678300813008
1992,257.98331674208146,56.2,198.55065689300412
1993,243.54184557938987,54.35,209.4785126777984
1994,249.36801275510203,54.3,210.9452252230093
1995,234.69498458667965,47.79999999999999,220.21565033209762
1996,253.7913768115942,50.5,228.644158649992
1997,245.21057369614513,60.62499999999999,223.83174468211527
1998,249.7239978925568,59.8,223.74276635367764
1999,234.83409849679046,55.050000000000004,219.3438647237197
2000,248.35855572482257,64.4,226.43487743589745
2001,233.1167945690673,50.8,227.97184934479935
2002,245.4298400900901,57.4,221.35050853289292
2003,244.297394412533,64.55000000000001,226.17521351190476
2004,243.64704403110548,58.85,214.04369283468105
2005,244.17738836601308,61.75,223.61041912972087
2006,251.16756898086336,62.75,227.93961305361304
2007,243.5009515783462,59.3,219.95343391994479
2008,235.57555838108516,48.56666666666666,215.4515955989148
2009,238.39265337368542,45.800000000000004,232.75021471163248
2010,236.34237148064355,45.800000000000004,227.01804957609596
2011,238.33918356112378,47.56666666666666,228.39540394420396
2012,234.8973865323436,49.53333333333333,227.66780989435063
2013,235.39375779678068,54.366666666666674,227.91420636766995
2014,238.30307186520778,52.9,220.3991455190772
2015,234.7982187763713,52.86666666666667,225.23018834688347
2016,233.96369174382718,54.833333333333336,220.94308891213387
2017,233.87425860008537,53.76666666666666,224.50886132428178
2018,230.17820683685784,53.666666666666664,233.42842877929309
2019,229.84689876940385,54.56666666666667,230.93913096389426
2020,228.77558517429543,53.73333333333333,231.78585532192673
2021,228.66587235509982,53.366666666666674,241.32674496644293
2022,225.57767640770894,58.099999999999994,235.9598863826232
2023,210.077867494824,,236.11825000000002
