,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth,depth
year,1853.0,1856.0,1857.0,1860.0,1864.0,1868.0,1870.0,1871.0,1872.0,1873.0,1875.0,1876.0,1877.0,1878.0,1879.0,1880.0,1881.0,1882.0,1883.0,1884.0,1885.0,1886.0,1887.0,1888.0,1889.0,1890.0,1891.0,1892.0,1893.0,1894.0,1895.0,1896.0,1897.0,1898.0,1899.0,1900.0,1901.0,1902.0,1903.0,1904.0,1905.0,1906.0,1907.0,1908.0,1909.0,1910.0,1911.0,1912.0,1913.0,1914.0,1915.0,1916.0,1917.0,1918.0,1919.0,1920.0,1921.0,1922.0,1923.0,1924.0,1925.0,1926.0,1927.0,1928.0,1929.0,1930.0,1931.0,1932.0,1933.0,1934.0,1935.0,1936.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
REGISTRY_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,,,,519.3,519.8,,545.5,520.7,521.4,521.6,524.4,522.2,522.4,523.4,523.3,523.9,,,524.7,524.8,,523.8,,521.1,515.5,512.6,509.5,,504.65,503.9,497.7,495.3,,489.85,,487.85,485.1,483.5,
85358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,275.8,277.4,278.5,280.1,279.4,279.2,279.35,277.38,271.15,,265.31,264.9,,264.725,,262.43,254.885,251.65,251.53,,,,
85761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08,41.35,,,,41.2,40.7,,40.4,40.1,39.68,39.2,,,,,,,,,41.5,42.0,42.4,38.9,39.5,41.6,40.7,41.3,40.0,40.4,41.6,42.2,42.2,42.85,46.0,42.6,43.0,43.7,42.3,43.7,43.9,43.8,45.4,44.4,44.9,44.7,45.5,45.3,46.3,45.0,46.2,43.5,,
85799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,66.6,76.25,67.71666666666665,72.14999999999999,64.56,66.865,61.41,61.849999999999994,64.2475,62.675000000000004,,,,,,,,61.3,62.3,61.85,61.4,,61.225,61.4,61.7,59.9,60.3,60.5,60.5,58.8,59.6,59.4,59.9,58.9,59.3,59.8,57.8,59.5,60.1,59.4,60.8,62.1,
85863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,57.80833333333334,57.8375,,59.4,60.0,63.245000000000005,66.56,67.09,69.39,70.69,71.59,74.7,76.99,79.31800000000001,78.975,80.8,81.24666666666667,84.725,84.684,87.34,87.77,89.4425,95.72,96.31,98.15,101.09,105.32,106.69,109.04333333333334,112.63999999999999,114.74000000000001,115.505,116.26333333333332,117.10333333333334,119.34,118.49000000000001,119.77333333333333,120.64999999999999,118.66
85970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.77,,,,,,,,,,,,,129.8,,,,,131.8,,,133.1,132.9,,143.6,141.3,132.8,133.5,131.2,152.2,134.0,138.9,131.6,135.6,133.6,,129.4,135.8,133.3,139.5,133.3,133.0,
86280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.085,36.765,,,,,,,,,,,,35.8,,,,,36.1,,,36.2,37.9,37.0,35.4,37.7,36.9,36.1,41.6,36.2,37.7,37.7,37.5,37.3,37.3,38.2,40.45,39.3,38.0,38.7,37.7,35.4,
86642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.01,98.05,103.3,102.37,116.63,116.97,123.62,126.7,130.8,142.7,147.8,157.35000000000002,,163.2,167.2,159.6,165.75,170.6,170.5,177.8,178.6,186.2,,181.3,183.1,193.83333333333334,,191.0,190.7,195.6,194.9,,197.1,203.2,207.5,211.8,,211.75,215.25,223.0,226.6,226.2,228.6,234.0,237.9,241.7,245.7,250.2,254.0,,261.15,268.6,274.5,280.6,283.9,286.9,293.1,291.9,
87174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,,,233.2,237.4,251.29999999999998,254.8,258.85,250.6,253.3,242.7,278.0,244.0,,,,229.1,230.5,,236.9,243.5,241.7,,,238.65,236.75,,233.8,232.6,231.2,230.2,230.6,,,,223.3,222.1,220.7,221.15,221.0,220.5,220.4,
87570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,424.9,,423.8,423.55,423.3,423.1,422.5,422.6,,426.4,423.2,423.3,427.5,423.5,423.2,425.3,423.2,423.1,423.2,,,424.15,,425.45,426.1,,426.5,426.6,426.6,426.5,,425.85,425.3,424.8,424.7,424.3,423.7,424.1,424.1,423.4,422.0,
87599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,379.54999999999995,652.3,393.3,391.1,391.5,392.8,394.4,394.8,394.6,394.41,393.31666666666666,391.24333333333334,389.6875,385.8,378.296,372.665,367.3666666666666,359.74,351.42,342.77666666666664,333.7833333333333,324.5233333333333,318.67499999999995,309.75666666666666,303.75,299.2866666666667,296.51,295.15333333333336,294.11333333333334,293.78333333333336,291.9
87668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,,,,,,,193.4,,,,,,,,194.5,196.9,196.875,198.5,,199.3,200.1,201.3,202.1,202.8,204.7,205.2,206.0,206.6,207.7,208.4,209.7,210.9,211.5,212.0,212.9,213.3,214.4,215.1,215.8,
200027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,316.26666666666665,316.725,317.54999999999995,319.1325,319.90000000000003,320.32666666666665,321.2266666666667,322.46,323.51,324.74333333333334,325.7033333333333,326.57666666666665,327.205,327.75666666666666,327.83666666666664,328.12333333333333,328.5266666666667,
200197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.5,,179.54999999999998,175.1,173.26,173.5666666666667,172.115,171.98,171.86,171.8475,171.04,171.265,168.92000000000002,168.975,169.43666666666667,170.47,169.39,170.45000000000002,171.39333333333335,176.76,170.47
201059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,184.7,181.77,,183.23,182.1,180.4,184.4,188.52,188.05,192.23,190.53,187.63,187.06,184.35,180.78,,,
202398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,24.4,24.8,,28.299999999999997,28.25,25.4,,51.0,57.5,42.0,,41.7,38.7,33.8,35.4,40.85,36.1,38.25,
208802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.0,,650.63,651.6975,651.4766666666666,651.45,651.5799999999999,651.3533333333334,651.1966666666666,651.2125,651.1633333333333,650.8366666666666,651.1425,651.6366666666667,652.24,652.95,654.24,655.8366666666667,657.65
208822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.8,,391.2,304.8,283.8,301.8,307.7,280.4,220.9,290.2,310.4,303.5,,336.9,322.3,325.7,333.3,
