,Yuma
1900.0,
1910.0,
1915.0,
1916.0,
1917.0,
1919.0,
1920.0,
1924.0,
1925.0,
1926.0,
1927.0,
1928.0,
1929.0,
1930.0,1.0
1931.0,
1933.0,
1934.0,
1935.0,
1936.0,
1937.0,
1938.0,
1939.0,
1940.0,
1941.0,
1942.0,
1943.0,
1944.0,
1945.0,1.0
1946.0,1.0
1947.0,1.0
1948.0,
1949.0,
1950.0,
1951.0,2.0
1952.0,
1953.0,
1954.0,
1955.0,
1956.0,2.0
1957.0,1.0
1958.0,
1959.0,
1960.0,
1961.0,
1962.0,
1963.0,1.0
1964.0,2.0
1965.0,
1966.0,
1967.0,2.0
1968.0,
1969.0,
1970.0,
1971.0,
1972.0,1.0
1973.0,2.0
1974.0,1.0
1975.0,1.0
1976.0,2.0
1977.0,3.0
1978.0,2.0
1979.0,2.0
1980.0,3.0
1981.0,13.0
1982.0,32.0
1983.0,48.0
1984.0,65.0
1985.0,84.0
1986.0,78.0
1987.0,111.0
1988.0,63.0
1989.0,136.0
1990.0,102.0
1991.0,106.0
1992.0,102.0
1993.0,138.0
1994.0,151.0
1995.0,146.0
1996.0,157.0
1997.0,143.0
1998.0,101.0
1999.0,212.0
2000.0,145.0
2001.0,85.0
2002.0,64.0
2003.0,52.0
2004.0,71.0
2005.0,64.0
2006.0,95.0
2007.0,86.0
2008.0,67.0
2009.0,41.0
2010.0,33.0
2011.0,15.0
2012.0,23.0
2013.0,32.0
2014.0,22.0
2015.0,17.0
2016.0,27.0
2017.0,15.0
2018.0,29.0
2019.0,20.0
2020.0,43.0
2021.0,71.0
2022.0,40.0
2023.0,30.0
2024.0,
